rank,planet_name,star_name,biosignature_score,habitability_class,earth_similarity_index,radius_earth,mass_earth,orbital_distance_au,equilibrium_temp_k,in_hz_conservative,in_hz_optimistic,source_dataset
38,TOI-561 b,TOI-561,41.22349744091923,Moderado,0.3111748720459618,1.4554450399999999,2.9997332680000004,0.0104,2134.77,False,False,cumulative
39,K2-285 e,K2-285,40.81956225228915,Moderado,0.29097811261445783,1.9484343199999998,10.698991240000002,0.18041,500.9,False,False,cumulative
40,HD 137496 b,HD 137496,40.723162735275196,Moderado,0.2861581367637601,1.3089503839999999,4.039638428,0.02732,2130.0,False,False,cumulative
41,HD 15337 b,HD 15337,40.67414763418047,Moderado,0.2837073817090234,1.69792,7.199320436,0.05245,1006.0,False,False,cumulative
42,TOI-3856 b,TOI-3856,40.447003430883875,Moderado,0.022350171544194133,13.5856,171.61200000000002,0.0325,1544.0,True,True,cumulative
43,HR 858 d,HR 858,40.303014146871355,Moderado,0.2651507073435677,1.9993967839999998,7.099365980000001,0.1046,1061.0,False,False,cumulative
44,LTT 1445 A c,LTT 1445 A,40.28921165383963,Moderado,0.7644605826919812,1.0691427039999999,1.3698769000000002,0.02659,516.0,False,False,cumulative
45,TOI-1347 c,TOI-1347,40.27411508300227,Moderado,0.26370575415011377,1.6762670400000002,8.999196626,0.0546,950.08,False,False,cumulative
46,WASP-132 c,WASP-132,40.258257237557636,Moderado,0.2629128618778819,1.8395249599999999,6.259439648000001,0.01833,1329.0,False,False,cumulative
47,Kepler-323 c,Kepler-323,40.17300245793145,Moderado,0.25865012289657235,1.5687421119999998,6.7993913820000005,0.0458,1431.0,False,False,cumulative
48,TIC 4672985 b,TIC 4672985,40.15041875240082,Moderado,0.0075209376200409805,11.4912,4048.7720000000004,0.33,517.2,True,True,cumulative
49,TOI-1798.02,TOI-1798,40.117006692227854,Moderado,0.2558503346113924,1.398269152,5.599499346000001,0.0107,1935.83,False,False,cumulative
50,TOI-1801 b,TOI-1801,40.04795562398458,Moderado,0.2523977811992287,1.9590479999999997,15.998570014,0.075,431.03,False,False,cumulative
51,HD 224018 d,HD 224018,39.638334245846565,Bajo,0.4319167122923279,2.398077136,4.199625304,0.53,411.0,False,True,cumulative
52,Kepler-107 c,Kepler-107,39.401757051973576,Bajo,0.2200878525986784,1.5957204479999998,9.999106656,0.06064,1378.0,False,False,cumulative
53,Kepler-21 b,Kepler-21,39.224937623467525,Bajo,0.21124688117337642,1.637686848,7.499329992,0.0434,2015.0,False,False,cumulative
54,EPIC 249893012 b,EPIC 249893012,39.10353484025863,Bajo,0.20517674201293173,1.9484343199999998,8.749173832,0.047,1616.0,False,False,cumulative
55,KOI-94 b,KOI-94,39.08235377805084,Bajo,0.2041176889025419,1.7135999999999998,10.487400000000001,0.05119,1486.0,False,False,cumulative
56,K2-131 b,K2-131,38.91654653339269,Bajo,0.1958273266696345,1.6886459520000001,7.899294004,0.00936,2223.0,False,False,cumulative
57,TOI-1450 A b,TOI-1450 A,38.77723062902635,Bajo,0.6888615314513175,1.129094624,1.257887358,,722.0,False,False,cumulative
58,HD 213885 b,HD 213885,38.7610066209767,Bajo,0.18805033104883506,1.743598864,8.82916727,0.02012,2128.0,False,False,cumulative
59,KOI-1831 d,Kepler-324,38.25329059537326,Bajo,0.6626645297686629,1.129094624,2.229799208,,475.0,False,False,cumulative
60,TOI-1749 b,TOI-1749,37.438167389109346,Bajo,0.12190836945546704,1.3888863519999999,56.994906668,0.0291,831.0,False,False,cumulative
61,KOI-4777.01,KOI-4777,36.454369957570755,Bajo,0.07271849787853775,0.509591376,99.19113218000001,0.008,1180.0,False,False,cumulative
62,TOI-178 b,TOI-178,36.36022204136773,Bajo,0.5680111020683863,1.151075072,1.4998571,0.02607,1040.0,False,False,cumulative
63,K2-137 b,K2-137,36.241897850063175,Bajo,0.06209489250315903,0.8892853759999999,158.9,0.0058,1471.0,False,False,cumulative
64,TOI-4914 b,TOI-4914,35.49674975531914,Bajo,0.024837487765956737,12.859688464,226.97971028600003,0.098,894.0,True,True,cumulative
65,TOI-1468 b,TOI-1468,34.950493243070326,Bajo,0.4975246621535162,1.2789744799999998,3.209713262,,682.2,False,False,cumulative
66,TOI-5720 b,TOI-5720,34.14191189566599,Bajo,0.45709559478329925,1.08912664,4.299614718,0.018288,708.0,False,False,cumulative
67,HD 110067 e,HD 110067,33.82995028717713,Bajo,0.44149751435885615,1.9384457119999998,3.899650706,0.1785,533.0,False,False,cumulative
68,K2-415 b,K2-415,33.767099780107245,Bajo,0.43835498900536235,1.0141867679999998,7.499329992,0.027,412.4,False,False,cumulative
69,K2-157 b,K2-157,33.736170629483006,Bajo,0.4368085314741503,0.9340799999999999,1.14408,0.00962,2432.0,False,False,cumulative
70,TOI-663 d,TOI-663,33.133347052813875,Bajo,0.40666735264069387,1.9184616639999998,5.199535334,0.0576,482.0,False,False,cumulative
71,TOI-1386 b,TOI-1386,32.739026640433536,Bajo,0.08695133202167674,6.211405871999999,45.795907976,0.173,615.03,False,True,cumulative
72,GJ 9827 b,GJ 9827,32.37263564320017,Bajo,0.3686317821600084,1.57873408,3.6896707120000003,0.0206,1114.0,False,False,cumulative
73,TOI-178 c,TOI-178,32.18156283669914,Bajo,0.35907814183495695,1.667659952,4.769548756000001,0.037,873.0,False,False,cumulative
