planet_name,host_star,biosignature_score,habitability_score,detectability_score,biosignature_potential,stellar_activity,radius_earth,mass_earth,orbital_period,equilibrium_temp,stellar_temp,discovery_year,ml_prediction,ml_class,ml_confidence
TOI-244 b,TOI-244,80.0,30.0,30.0,20.0,0.0,1.03,,7.39726,387.0,3450.0,2023,3,High Priority,0.999875450570472
TOI-2180 b,TOI-2180,80.0,30.0,25.0,20.0,5.0,11.32107051,875.61726129,260.79,348.0,5695.0,2022,3,High Priority,0.9999449523759105
Kepler-220 e,Kepler-220,80.0,35.0,25.0,20.0,0.0,1.18,,45.9029768,341.0,4499.0,2014,3,High Priority,0.9779421483347085
Kepler-138 d,Kepler-138,80.0,35.0,25.0,20.0,0.0,1.52,,23.08901839,335.0,3841.0,2014,3,High Priority,0.9998933775981425
TRAPPIST-1 e,TRAPPIST-1,80.0,35.0,25.0,20.0,0.0,0.918,0.62,6.099615,251.3,2559.0,2017,3,High Priority,0.9998837764561369
LHS 1678 c,LHS 1678,75.0,20.0,30.0,20.0,5.0,0.982,1.4,3.694247,,3490.0,2021,3,High Priority,0.9992448795753823
HD 183263 b,HD 183263,75.0,25.0,25.0,20.0,5.0,,,634.23,,5936.0,2004,3,High Priority,0.9999189667255293
Kepler-1972 b,Kepler-1972,75.0,20.0,25.0,25.0,5.0,0.802,2.02,7.54425,,5818.0,2022,3,High Priority,0.99992747209268
K2-3 c,K2-3,75.0,25.0,30.0,20.0,0.0,1.69,3.3,24.646582,381.0,3835.0,2015,3,High Priority,0.9952439242667138
GJ 3512 b,GJ 3512,75.0,25.0,30.0,20.0,0.0,,,203.109,,3141.0,2019,3,High Priority,0.9996853068972363
HD 564 b,HD 564,75.0,25.0,25.0,20.0,5.0,,,492.3,,5902.0,2014,3,High Priority,0.9997182855956896
Kepler-296 e,Kepler-296,75.0,35.0,15.0,20.0,5.0,1.4,,34.14247,297.0,3862.0,2014,3,High Priority,0.9999598361496106
LHS 1140 b,LHS 1140,75.0,25.0,30.0,20.0,0.0,1.635,6.38,24.73694,378.9,2988.0,2017,3,High Priority,0.9998443163926798
LHS 1678 c,LHS 1678,75.0,20.0,30.0,20.0,5.0,0.941,,3.694284,,3490.0,2021,3,High Priority,0.9997239039607405
Kepler-83 c,Kepler-83,75.0,25.0,30.0,20.0,0.0,1.94,,20.08922958,362.0,3893.0,2012,3,High Priority,0.9998670293516053
Kepler-235 e,Kepler-235,75.0,35.0,15.0,20.0,5.0,2.0,,46.18288,303.0,4243.0,2014,3,High Priority,0.9998809216309087
Kepler-186 d,Kepler-186,75.0,25.0,30.0,20.0,0.0,1.41,,13.34331036,384.0,3761.0,2014,3,High Priority,0.9115083901515668
Kepler-52 c,Kepler-52,75.0,25.0,30.0,20.0,0.0,1.69,,16.38522911,390.0,3898.0,2012,3,High Priority,0.9995412527982401
Kepler-395 c,Kepler-395,75.0,35.0,15.0,20.0,5.0,1.28,,34.98804,312.0,4050.0,2014,3,High Priority,0.9999506088221997
LHS 1140 b,LHS 1140,75.0,25.0,30.0,20.0,0.0,1.727,6.98,24.736959,235.0,3216.0,2017,3,High Priority,0.9999479853994465
Kepler-54 d,Kepler-54,75.0,35.0,15.0,20.0,5.0,1.73,,20.9954,348.0,3855.0,2014,3,High Priority,0.9998788015418709
LHS 1140 c,LHS 1140,75.0,25.0,30.0,20.0,0.0,1.56599372,,3.77794175247,394.38,3131.0,2018,3,High Priority,0.9994156140897388
K2-136 d,K2-136,75.0,25.0,30.0,20.0,0.0,1.45,,25.575065,373.0,4499.0,2017,3,High Priority,0.9996527675141855
TRAPPIST-1 c,TRAPPIST-1,75.0,35.0,25.0,20.0,-5.0,1.049,,2.421848,342.0,2550.0,2016,3,High Priority,0.9999399892735773
HD 75784 b,HD 75784,75.0,25.0,25.0,20.0,5.0,,,341.5,,4867.0,2014,3,High Priority,0.9999699073113832
LP 791-18 d,LP 791-18,75.0,30.0,30.0,20.0,-5.0,1.032,0.9,2.753436,395.5,2960.0,2023,3,High Priority,0.9999063249483637
TOI-5388.01,TOI-5388,75.0,25.0,30.0,20.0,0.0,1.89426,,2.594675,375.0,3495.0,2024,3,High Priority,0.9994730057558076
Kepler-102 f,Kepler-102,75.0,20.0,30.0,25.0,0.0,0.88,5.2,27.4536,,4903.0,2014,3,High Priority,0.9992904261213966
LHS 1140 b,LHS 1140,75.0,25.0,30.0,20.0,0.0,1.73,5.6,24.73723,226.0,3096.0,2017,3,High Priority,0.9999524483822078
Kepler-235 d,Kepler-235,75.0,25.0,30.0,20.0,0.0,1.84,,20.06085968,351.0,3887.0,2014,3,High Priority,0.9999518984545834
HD 34445 c,HD 34445,75.0,25.0,25.0,20.0,5.0,,,214.67,,5836.0,2017,3,High Priority,0.9999388977888585
HD 17674 b,HD 17674,75.0,25.0,25.0,20.0,5.0,,,623.8,,5904.0,2017,3,High Priority,0.9999341637535141
Kepler-52 d,Kepler-52,75.0,35.0,15.0,20.0,5.0,1.96,,36.44591,326.0,4222.0,2014,3,High Priority,0.9998641160772127
Kepler-55 c,Kepler-55,75.0,35.0,15.0,20.0,5.0,1.77,,42.14334,343.0,4509.0,2012,3,High Priority,0.9998460889201541
LHS 1140 b,LHS 1140,75.0,25.0,30.0,20.0,0.0,1.43,6.65,24.73712,230.0,3131.0,2017,3,High Priority,0.9999434652014513
Kepler-1652 b,Kepler-1652,75.0,35.0,15.0,20.0,5.0,1.39,,38.09824,288.0,3885.0,2017,3,High Priority,0.9999598361496106
Kepler-68 c,Kepler-68,75.0,20.0,30.0,20.0,5.0,0.927,,9.60503867,,5789.0,2013,3,High Priority,0.9998879993571793
GJ 341 b,GJ 341,75.0,20.0,30.0,25.0,0.0,0.88,4.0,7.57686,,3770.0,2025,3,High Priority,0.9996317990053085
K2-3 c,K2-3,75.0,25.0,30.0,20.0,0.0,1.56,,24.64745,374.0,3951.0,2015,3,High Priority,0.9993545108766466
HD 23472 c,HD 23472,75.0,25.0,30.0,20.0,0.0,1.60982,,29.7975205,374.0,4813.0,2019,3,High Priority,0.9925119567031695
TOI-2285 b,TOI-2285,75.0,25.0,30.0,20.0,0.0,1.77,,13.635109,358.0,3491.0,2021,3,High Priority,0.999876450080385
Kepler-560 b,Kepler-560,75.0,35.0,15.0,20.0,5.0,1.47,,18.477644,298.0,3430.0,2016,3,High Priority,0.9999287505729543
K2-240 c,K2-240,75.0,25.0,30.0,20.0,0.0,1.8,,20.523,389.0,3810.0,2018,3,High Priority,0.9993526139434393
TOI-237 b,TOI-237,75.0,25.0,30.0,20.0,0.0,1.44,,5.436098,388.0,3212.0,2020,3,High Priority,0.9997689097236717
Kepler-367 c,Kepler-367,75.0,35.0,15.0,20.0,5.0,1.08,,53.5782,342.0,4739.0,2014,3,High Priority,0.9997092469668373
Kepler-138 c,Kepler-138,75.0,25.0,30.0,20.0,0.0,1.58,,13.78104973,398.0,3841.0,2014,3,High Priority,0.9995917292189138
Kepler-408 b,Kepler-408,75.0,20.0,30.0,20.0,5.0,0.82,5.0,2.46502,,6104.0,2014,3,High Priority,0.999947100696619
TRAPPIST-1 f,TRAPPIST-1,75.0,30.0,25.0,20.0,0.0,1.045,0.68,9.20669,219.0,2559.0,2017,2,Medium Priority,0.9972001863713074
LHS 1678 d,LHS 1678,75.0,20.0,30.0,20.0,5.0,0.981,,4.9652229,,3490.0,2024,3,High Priority,0.9997239039607405
TOI-2095 b,TOI-2095,75.0,25.0,30.0,20.0,0.0,1.29848587,,17.66486600198,351.27,3746.0,2023,3,High Priority,0.9997737210518265
Kepler-1972 c,Kepler-1972,75.0,20.0,25.0,25.0,5.0,0.868,2.11,11.3295,,5818.0,2022,3,High Priority,0.9996352033103946
HIP 79431 b,HIP 79431,75.0,25.0,30.0,20.0,0.0,,,111.7,,3191.0,2009,3,High Priority,0.999852484330801
L 98-59 b,L 98-59,70.0,20.0,30.0,20.0,0.0,0.8,,2.25314,,3367.0,2019,3,High Priority,0.9998043984032503
Kepler-130 b,Kepler-130,70.0,20.0,25.0,20.0,5.0,1.03,,8.45746707,,6012.0,2014,3,High Priority,0.9996017926169478
Kepler-54 d,Kepler-54,70.0,35.0,15.0,20.0,0.0,1.38,,20.99589959,329.0,3726.0,2014,3,High Priority,0.9999394587147018
Kepler-296 d,Kepler-296,70.0,35.0,15.0,20.0,0.0,1.65,,19.85028393,293.0,3517.0,2014,3,High Priority,0.9999135290139252
HD 75784 b,HD 75784,70.0,25.0,25.0,20.0,0.0,,,341.7,,4917.0,2014,3,High Priority,0.9993482554418257
L 98-59 d,L 98-59,70.0,20.0,30.0,20.0,0.0,3.04528,,7.4507305,329.0,3469.0,2019,3,High Priority,0.9899465097106463
Kepler-431 c,Kepler-431,70.0,20.0,25.0,20.0,5.0,0.875,,8.70337044,,5976.0,2015,3,High Priority,0.999793927922071
TOI-1680 b,TOI-1680,70.0,25.0,25.0,20.0,0.0,1.42024592,,4.80265608125,370.46,3231.0,2023,3,High Priority,0.9995643203871227
Kepler-333 c,Kepler-333,70.0,30.0,15.0,20.0,5.0,1.16,,24.08826,390.0,4347.0,2014,3,High Priority,0.9998619504649239
Kepler-331 d,Kepler-331,70.0,35.0,15.0,20.0,0.0,1.92,,32.1340737,345.0,4345.0,2014,3,High Priority,0.999947246329252
Kepler-381 c,Kepler-381,70.0,20.0,30.0,20.0,0.0,0.992,,13.39152873,,6346.0,2014,3,High Priority,0.9993276799268472
Kepler-197 b,Kepler-197,70.0,20.0,25.0,20.0,5.0,1.112,,5.59931973,,5945.0,2014,3,High Priority,0.999182076613698
K2-3 d,K2-3,70.0,20.0,30.0,20.0,0.0,0.96,,44.5609,,3841.0,2015,3,High Priority,0.9995047160664094
HD 10180 f,HD 10180,70.0,25.0,25.0,20.0,0.0,,,122.76,,5911.0,2010,3,High Priority,0.9998170573251908
HD 224018 b,HD 224018,70.0,10.0,30.0,25.0,5.0,0.91,4.1,10.6413,968.0,5784.0,2025,2,Medium Priority,0.9999392475331866
Kepler-32 d,Kepler-32,70.0,20.0,30.0,20.0,0.0,2.7,,22.7802,340.0,3793.0,2012,3,High Priority,0.9999620005529427
TRAPPIST-1 b,TRAPPIST-1,70.0,30.0,25.0,20.0,-5.0,1.113,,1.510848,400.0,2550.0,2016,2,Medium Priority,0.9994859334154544
Kepler-381 c,Kepler-381,70.0,20.0,30.0,20.0,0.0,1.12,,13.391635,,6152.0,2014,3,High Priority,0.9990263715099919
Kepler-100 b,Kepler-100,70.0,15.0,25.0,25.0,5.0,1.32,7.34,6.88705,,5825.0,2014,3,High Priority,0.9983001369861448
Kepler-106 d,Kepler-106,70.0,20.0,25.0,20.0,5.0,1.008,,23.9802348,,5860.0,2014,3,High Priority,0.9989771214820928
Kepler-102 f,Kepler-102,70.0,20.0,30.0,20.0,0.0,0.81,,27.4537294,,4884.0,2014,3,High Priority,0.9994417768847231
Kepler-52 d,Kepler-52,70.0,35.0,15.0,20.0,0.0,1.8,,36.4451982,300.0,3898.0,2014,3,High Priority,0.9998991255001652
Kepler-438 b,Kepler-438,70.0,35.0,15.0,20.0,0.0,0.98,,35.23318,273.0,3688.0,2015,3,High Priority,0.9998978133718501
Kepler-1455 b,Kepler-1455,70.0,35.0,15.0,20.0,0.0,1.97,,49.276764,272.0,3894.0,2016,3,High Priority,0.9999286310857852
Kepler-249 d,Kepler-249,70.0,35.0,15.0,20.0,0.0,1.21,,15.36843606,336.0,3568.0,2014,3,High Priority,0.9999352397622617
Kepler-52 d,Kepler-52,70.0,35.0,15.0,20.0,0.0,1.99,,36.4454001,332.0,4126.0,2014,3,High Priority,0.9999323164246515
