kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00784.02,CONFIRMED,10.06524317,1.369,1.91,488.0,13.43,1053.3,0.628,30.3
K00785.01,CONFIRMED,12.3935651,3.8896,2.66,677.0,49.68,916.6,0.883,35.8
K00116.02,CONFIRMED,43.84439721,6.802,2.87,531.0,18.77,615.2,0.852,83.7
K00798.01,FALSE POSITIVE,3.341913228,3.813,21.55,1032.0,268.67,725.3,1.213,39.0
K00799.01,FALSE POSITIVE,1.626630225,2.1145,32.43,1547.0,1355.88,1620.6,1.26,103.6
K00800.01,CONFIRMED,2.711504086,3.0099,3.12,1420.0,960.79,837.5,0.023,64.5
K00800.02,CONFIRMED,7.21203748,4.0491,3.32,1025.0,260.58,950.4,0.012,51.5
K00789.01,FALSE POSITIVE,14.1798187,2.505,1.88,711.0,60.35,459.9,0.1601,11.2
K00790.01,CONFIRMED,8.47237911,2.7245,2.59,751.0,75.44,1123.5,0.022,47.6
K00790.02,CONFIRMED,60.4189369,5.039,2.36,390.0,5.49,931.3,0.094,20.1
K00791.01,CONFIRMED,12.611904345,5.1497,7.4,753.0,76.15,6105.6,0.55,277.2
K00792.01,FALSE POSITIVE,1.433769925,1.8868,46.58,1920.0,3209.29,1976.3,1.268,112.6
K00793.01,FALSE POSITIVE,10.31872301,3.836,28.59,876.0,139.26,871.7,1.215,38.2
K00794.01,CONFIRMED,2.539183147,2.4282,2.06,1332.0,743.09,382.1,0.238,38.9
K00795.01,CONFIRMED,6.770300385,2.0844,2.77,812.0,102.87,1304.0,0.838,50.8
K00796.01,FALSE POSITIVE,0.444291966,2.0792,27.51,1836.0,2706.26,10967.4,1.258,299.7
K00797.01,CANDIDATE,10.181584004,3.5089,7.73,812.0,102.91,5741.1,0.92,183.6
K00812.02,CONFIRMED,20.06036336,3.3203,1.96,361.0,4.0,1494.7,0.556,35.2
K00812.03,CONFIRMED,46.1842039,4.758,1.83,273.0,1.32,1394.7,0.013,26.0
K00116.04,CONFIRMED,23.9800854,5.351,1.31,649.0,41.94,104.0,0.95,17.1
K00812.04,CONFIRMED,7.82502168,2.186,1.2,494.0,14.05,520.8,0.708,15.9
K00813.01,CONFIRMED,3.895936525,2.3111,7.34,1005.0,241.62,8544.8,0.524,370.8
K00814.01,CONFIRMED,22.36646466,5.228,2.32,536.0,19.45,986.8,0.4,32.1
K00801.01,CONFIRMED,1.625522174,2.38963,9.73,1579.0,1467.41,7969.0,0.076,799.7
K00802.01,CANDIDATE,19.620346923,2.0038,13.6,643.0,40.39,21724.6,0.458,340.5
K00803.01,FALSE POSITIVE,7.544039,6.222,17.47,838.0,116.46,322.6,1.175,14.2
K00804.01,CONFIRMED,9.02930689,3.1449,2.57,757.0,77.75,1019.8,0.024,53.9
K00805.01,FALSE POSITIVE,10.328035714,7.7915,13.28,843.0,119.31,16917.7,0.281,636.8
K00806.01,CONFIRMED,143.2063047,8.9302,8.9,308.0,2.14,10565.7,0.379,138.8
K00116.03,CONFIRMED,6.164876,3.262,0.79,1021.0,256.35,55.8,0.646,14.4
K00806.02,CONFIRMED,60.32494216,6.6188,12.19,411.0,6.77,20280.4,0.224,347.2
K00806.03,CONFIRMED,29.1598615,4.803,1.91,524.0,17.85,488.0,0.3619,11.6
K00807.01,FALSE POSITIVE,1.540397253,2.1541,25.69,1470.0,1105.68,816.1,1.225,38.8
K00808.01,FALSE POSITIVE,2.99025443,5.414,1.7,918.0,168.45,589.2,0.014,48.5
