kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00928.01,CANDIDATE,2.494170338,1.1221,2.42,1194.0,480.19,863.7,0.095,69.2
K00929.01,CONFIRMED,6.491682808,4.301,9.66,1062.0,301.54,7163.3,0.535,502.3
K00930.01,FALSE POSITIVE,3.044770796,10.0134,24.54,1076.0,317.36,1695.0,1.252,203.5
K00931.01,CONFIRMED,3.855603916,3.2179,13.61,1212.0,508.65,16652.7,0.348,1173.9
K00932.01,FALSE POSITIVE,3.855599139,3.183,3.57,1158.0,425.74,1030.9,0.864,90.1
K00125.01,CONFIRMED,38.47876629,5.04169,13.26,484.0,13.01,23530.0,0.003,1077.8
K00915.01,FALSE POSITIVE,37.601661282,8.30604,27.22,606.0,31.86,59130.1,0.408,1667.3
K00916.01,CONFIRMED,3.314947362,1.8007,3.94,1155.0,421.03,1398.2,0.799,123.5
K00917.01,FALSE POSITIVE,6.71969089,3.0231,4.37,952.0,194.18,969.7,0.985,45.4
K00918.01,CONFIRMED,39.6431552,6.5292,10.98,472.0,11.74,15663.8,0.062,690.3
K00919.01,FALSE POSITIVE,51.42598578,16.9422,29.66,549.0,21.4,66067.7,0.203,1843.8
K00920.01,CONFIRMED,21.80451611,3.4097,2.6,543.0,20.48,1144.9,0.751,49.9
K00921.01,CONFIRMED,10.28194593,3.4366,2.53,680.0,50.6,1110.7,0.168,55.0
K00921.02,CONFIRMED,18.11993039,4.2309,2.95,563.0,23.77,1506.9,0.206,60.7
K00921.03,CONFIRMED,3.78402867,1.9012,1.7,949.0,191.78,426.1,0.691,25.6
K00922.01,CONFIRMED,5.15448142,3.228,2.94,964.0,204.1,697.5,0.933,48.1
K00126.01,FALSE POSITIVE,33.80364366,11.4813,20.7,745.0,72.71,13494.4,0.023,529.9
K00923.01,CONFIRMED,5.743469797,3.4412,3.13,982.0,219.95,1240.2,0.001,79.7
K00924.01,CANDIDATE,39.4759093,2.968,4.06,577.0,26.13,1012.6,0.938,26.6
K00925.01,FALSE POSITIVE,19.974485239,4.23479,26.56,700.0,56.84,40293.1,0.886,1398.8
K00926.01,CONFIRMED,3.166353562,3.3129,3.82,1273.0,621.92,1473.4,0.032,128.3
K00927.01,FALSE POSITIVE,23.899634407,3.81881,44.04,652.0,42.8,20953.1,1.245,547.8
K00939.01,CONFIRMED,3.388012244,2.6849,2.11,1315.0,705.93,280.1,0.433,30.6
K00939.02,CONFIRMED,5.83909761,3.1915,2.06,1097.0,341.48,273.6,0.341,25.2
K00939.03,CONFIRMED,1.620467654,2.1888,1.57,1681.0,1893.42,159.6,0.271,22.7
K00939.04,CONFIRMED,10.6816951,3.605,2.3,897.0,152.75,307.8,0.646,21.9
K00940.01,CONFIRMED,6.104849417,4.6912,3.18,784.0,89.25,2090.3,0.041,293.7
K00127.01,CONFIRMED,3.578780566,2.91089,10.43,1145.0,406.6,11382.2,0.079,1838.4
K00933.01,FALSE POSITIVE,3.187067566,3.119,23.88,1079.0,319.76,1037.4,1.234,37.2
K00934.01,CONFIRMED,5.826657508,2.9183,4.09,1013.0,248.57,1539.1,0.033,81.1
K00934.02,CONFIRMED,12.41216347,3.739,2.58,787.0,90.65,611.3,0.021,25.6
K00934.03,CONFIRMED,18.74649011,3.895,3.05,686.0,52.38,796.8,0.508,26.7
K00935.01,CONFIRMED,20.86021229,5.1937,5.5,781.0,87.76,1910.5,0.066,117.0
K00935.02,CONFIRMED,42.63427848,6.1998,5.22,615.0,33.82,1719.3,0.142,78.7
K00935.03,CONFIRMED,87.6476068,8.871,4.0,484.0,12.94,1009.6,0.147,37.5
K00935.04,CANDIDATE,9.61731426,3.8692,1.94,1010.0,246.13,234.0,0.331,18.2
K00936.01,CONFIRMED,9.467821474,2.4327,2.13,407.0,6.47,2237.0,0.081,124.7
K00936.02,CONFIRMED,0.893040969,1.0981,1.24,893.0,151.14,741.7,0.009,87.8
K00128.01,CONFIRMED,4.942783419,3.25346,10.62,1008.0,244.42,11144.7,0.566,2040.7
K00937.01,CONFIRMED,20.83426731,4.0454,2.74,595.0,29.62,988.4,0.256,45.1
K00938.01,CONFIRMED,9.94602357,3.3862,3.12,807.0,100.34,994.5,0.035,51.0
K00938.02,CONFIRMED,1.04562195,1.8955,1.45,1710.0,2031.84,213.0,0.037,25.3
K00938.03,CONFIRMED,5.71462396,2.336,1.78,971.0,210.16,297.8,0.503,16.7
K00145.01,FALSE POSITIVE,102.9641952,15.735,39.0,797.0,95.4,1896.7,0.922,86.1
K01102.02,CONFIRMED,8.14515981,5.073,3.43,1050.0,287.91,446.8,0.965,32.2
K01102.03,CONFIRMED,18.9985279,4.529,43.17,792.0,93.03,430.7,1.3,16.9
K01102.04,CONFIRMED,4.24439049,3.282,2.07,1305.0,686.99,174.0,0.949,15.1
K01103.01,CANDIDATE,90.1240507,11.649,7.12,485.0,13.09,3020.3,0.698,57.9
K00150.02,CONFIRMED,28.5742692,4.9427,2.32,538.0,19.83,824.9,0.068,97.1
K01168.01,CANDIDATE,856.672115,23.144,3.87,242.0,0.81,858.1,0.1158,39.2
K01169.01,CANDIDATE,0.689210173,1.6169,1.32,1943.0,3362.71,195.0,0.154,93.4
K01170.01,CONFIRMED,7.34373964,1.1784,1.84,839.0,117.5,574.4,0.185,32.2
K01171.01,FALSE POSITIVE,0.445277068,3.539,35.74,2562.0,10177.11,186.7,1.2962,28.9
K00966.01,FALSE POSITIVE,0.379463865,0.86896,59.56,3000.0,19256.81,1973.3,1.246,458.6
K00967.01,FALSE POSITIVE,9.88047978,2.78458,23.6,860.0,129.45,18541.0,1.02,534.5
K00968.01,FALSE POSITIVE,4.6484156,38.1939,5.06,2259.0,6152.88,128.4,0.968,91.7
K00969.01,FALSE POSITIVE,17.512014768,1.8248,13.66,804.0,98.77,4511.7,0.994,322.3
K00970.01,CANDIDATE,3.9886021,1.7376,34.39,3145.0,23135.72,673.5,0.06,37.1
K00971.01,CANDIDATE,0.533059312,1.8621,133.56,5862.0,277887.7,1495.8,1.263,179.6
K01044.01,FALSE POSITIVE,0.525154153,2.1441,23.61,2073.0,4391.51,747.5,1.226,116.1
K01045.01,FALSE POSITIVE,1.303861044,4.0541,27.85,1610.0,1595.19,598.2,1.258,140.6
K01047.01,FALSE POSITIVE,2.55549176,9.083,23.35,1312.0,701.68,113.8,1.228,24.3
K00014.01,FALSE POSITIVE,2.947376671,2.0911,403.59,2404.0,7903.84,433.2,2.641,62.3
K00139.01,CONFIRMED,224.7789355,11.1899,7.67,333.0,2.92,3487.5,0.652,235.7
K01104.01,FALSE POSITIVE,0.890110752,0.8774,1.25,1372.0,838.42,321.5,0.216,19.6
K01105.01,FALSE POSITIVE,5.76573396,2.924,7.47,1964.0,3518.78,248.0,0.708,22.2
K01106.01,CONFIRMED,7.42608123,3.6379,2.47,1037.0,273.78,443.3,0.097,37.5
K01106.02,CONFIRMED,15.9868932,4.158,1.62,803.0,98.51,178.5,0.533,10.9
K01107.01,FALSE POSITIVE,0.73094589,4.32,17.12,1922.0,3248.17,250.2,1.169,37.5
K01108.01,CONFIRMED,18.92537246,3.9835,13.92,1171.0,443.58,640.9,0.806,41.0
K01172.01,FALSE POSITIVE,0.933749106,4.256,3.22,2863.0,15822.49,186.2,0.736,136.3
K01173.01,FALSE POSITIVE,2.037440623,3.442,1.19,1572.0,1448.05,118.6,0.715,27.0
K01174.01,CANDIDATE,129995.7784,9.408,2.99,25.0,0.0,1474.9,0.7127,35.7
K01175.01,CONFIRMED,31.5925809,13.566,1.78,688.0,53.09,145.1,0.283,25.5
K01175.02,CONFIRMED,17.157236,11.284,1.55,844.0,119.87,110.4,0.238,23.6
K01176.01,CONFIRMED,1.97376085,1.82542,8.78,753.0,76.1,30222.4,0.337,1252.5
K00972.01,CANDIDATE,13.118962443,4.3045,8.25,1768.0,2310.43,372.2,0.042,267.4
K00133.01,FALSE POSITIVE,4.618767792,5.9957,7.48,1170.0,442.78,4399.1,0.766,270.1
K00972.02,CANDIDATE,7.82187328,3.8417,2.78,2101.0,4601.71,42.2,0.005,37.2
K00974.01,CANDIDATE,53.5057611,10.5616,2.52,675.0,49.16,195.6,0.46,71.2
K00975.01,CONFIRMED,2.785821236,3.5599,1.69,1784.0,2388.98,68.9,0.893,53.6
K00976.01,FALSE POSITIVE,52.56901867,6.7507,78.54,737.0,69.62,26900.0,1.197,184.3
K01048.01,FALSE POSITIVE,3.411758679,3.158,14.71,684.0,51.85,570.6,1.213,35.6
K01049.01,FALSE POSITIVE,0.525426427,1.0801,1.45,2069.0,4349.62,324.6,0.113,63.6
K01050.01,CONFIRMED,1.269091415,1.4647,1.41,1331.0,740.47,340.9,0.412,73.5
K01050.02,CONFIRMED,2.853133997,1.465,1.36,1016.0,251.77,277.1,0.698,39.7
K01051.01,CONFIRMED,6.79685353,3.1702,2.01,985.0,222.91,393.1,0.62,29.8
K00146.01,FALSE POSITIVE,8.667822346,4.9658,67.37,1303.0,681.39,2121.9,1.276,187.6
K01108.02,CONFIRMED,1.475323222,2.3155,5.88,2740.0,13331.51,154.9,0.136,27.2
K01108.03,CONFIRMED,4.15246118,2.5755,7.62,1941.0,3354.56,223.4,0.639,24.5
K01110.01,CONFIRMED,8.7348852,4.49,1.59,890.0,148.62,270.7,0.314,24.8
K01111.01,FALSE POSITIVE,10.26547688,3.733,1.81,770.0,83.13,399.6,0.69,20.1
K00151.01,CANDIDATE,13.4471791,3.0454,5.24,848.0,122.34,1428.2,0.963,105.3
K01177.01,FALSE POSITIVE,3.305577989,2.5903,25.89,1027.0,263.55,17971.0,1.145,39.6
K01178.01,FALSE POSITIVE,4.800653901,9.0419,16.91,1347.0,778.45,15304.4,0.785,298.0
K01179.01,FALSE POSITIVE,15.06649901,5.9885,56.44,932.0,177.96,36348.0,1.018,154.6
K01180.01,FALSE POSITIVE,34.82008158,11.1711,11.36,459.0,10.49,18847.8,0.663,882.6
K01181.01,FALSE POSITIVE,0.651784374,2.0141,33.65,2090.0,4500.59,2779.3,1.224,195.2
K00977.01,FALSE POSITIVE,1.353771892,7.012,430.99,4903.0,136609.48,1349.1,1.203,76.7
K00978.01,FALSE POSITIVE,18.95491633,24.249,71.39,1139.0,397.48,867.5,1.228,249.3
K00979.01,FALSE POSITIVE,4.348866254,3.2797,2436.69,6421.0,401588.95,625.6,1.187,56.3
K00980.01,FALSE POSITIVE,47.93094546,2.6897,68.02,905.0,158.41,2144.4,1.272,221.1
K00981.01,FALSE POSITIVE,3.99751422,3.686,2.98,2203.0,5563.95,32.8,0.0303,6.1
K00982.01,FALSE POSITIVE,1.592633181,5.5605,1.56,1053.0,290.51,633.1,0.003,66.9
K00134.01,CONFIRMED,67.5923754,12.249,12.1,588.0,28.2,4158.1,0.728,60.9
K01052.01,CONFIRMED,17.02902786,4.645,2.54,755.0,76.66,568.9,0.202,29.8
K01052.02,CONFIRMED,6.84619236,3.529,1.67,1022.0,258.41,246.8,0.077,17.7
K01052.03,CONFIRMED,67.8321638,7.358,2.39,476.0,12.14,507.8,0.027,15.5
K01052.04,CONFIRMED,43.1312147,3.198,2.39,554.0,22.21,447.8,0.67,11.8
K01053.01,CONFIRMED,1.224866441,1.7086,1.54,1741.0,2174.33,196.0,0.286,21.1
K01112.01,CONFIRMED,37.8102649,8.733,2.33,566.0,24.27,570.3,0.061,35.2
K01113.01,CONFIRMED,25.93406406,4.6142,2.48,695.0,55.1,414.5,0.014,42.2
K01113.02,CONFIRMED,83.4463485,6.536,2.73,471.0,11.59,503.0,0.058,36.1
K01114.01,FALSE POSITIVE,7.04710032,2.926,25.2,986.0,223.84,400.9,1.195,24.0
K01115.01,CONFIRMED,12.99204853,6.0175,2.03,866.0,132.94,270.6,0.091,38.7
K01182.01,FALSE POSITIVE,11.11620211,4.211,8.96,853.0,125.21,4843.9,0.937,115.3
K01183.01,FALSE POSITIVE,1.922861499,3.5734,5.09,1392.0,884.12,1916.2,0.943,103.4
K01184.01,FALSE POSITIVE,0.635445336,1.8592,19.0,1177.0,451.42,2547.4,1.253,182.2
K01185.01,FALSE POSITIVE,1.665784138,1.8946,97.27,2636.0,11424.49,2006.2,1.27,148.0
K01186.01,FALSE POSITIVE,55.6639167,23.546,34.14,434.0,8.38,3414.4,1.298,103.4
K00152.01,CONFIRMED,52.09081627,8.6388,7.14,592.0,29.07,2894.1,0.065,243.5
K00983.01,FALSE POSITIVE,7.1548608,7.694,7.41,1482.0,1141.57,780.4,0.9848,24.2
K00984.01,CONFIRMED,4.28746668,1.5693,2.29,942.0,186.31,790.1,0.374,19.4
K00985.01,FALSE POSITIVE,2.002779769,2.231,1.42,1311.0,696.4,260.5,0.242,22.2
K00986.01,CONFIRMED,8.18739443,3.0472,1.92,782.0,88.36,517.6,0.377,38.4
K00986.02,CONFIRMED,76.0498163,7.158,1.75,372.0,4.53,445.9,0.015,17.4
K00139.02,CONFIRMED,3.341799486,2.9254,1.67,1356.0,798.41,178.2,0.426,48.8
K01054.01,FALSE POSITIVE,3.3226948,3.568,15.33,3859.0,52428.3,78.7,0.4722,8.6
K01055.01,FALSE POSITIVE,36.97708808,4.737,38.6,602.0,31.08,1269.9,1.246,59.2
K01056.01,FALSE POSITIVE,1.851409163,10.232,20.42,2154.0,5090.14,232.5,1.1117,54.4
K01057.01,FALSE POSITIVE,1.303859704,2.8239,0.98,2393.0,7759.2,36.7,0.674,34.7
K00147.01,FALSE POSITIVE,145.5624926,5.4126,40.15,387.0,5.33,2931.6,1.274,58.1
K01116.01,CONFIRMED,3.749105745,1.9826,1.68,1160.0,428.25,182.6,0.942,38.0
K01117.01,CONFIRMED,11.08956602,6.2877,3.51,1422.0,965.62,148.1,0.02,38.9
K01118.01,CANDIDATE,7.37290344,2.172,2.67,1004.0,240.11,205.2,0.993,19.1
K01119.01,FALSE POSITIVE,7.24476126,2.3145,0.65,837.0,116.02,58.0,0.04,27.2
K01193.01,CANDIDATE,119.0624882,3.1188,10.4,366.0,4.26,5372.3,0.968,71.6
K01194.01,CONFIRMED,8.70798309,2.4904,2.01,543.0,20.59,1419.6,0.063,28.1
K01194.02,CANDIDATE,14.8623076,3.161,1.57,454.0,10.08,840.0,0.324,14.4
K01194.03,CONFIRMED,4.17634276,2.335,1.23,694.0,54.8,531.5,0.142,14.9
K00152.02,CONFIRMED,27.40229859,6.8491,3.63,734.0,68.46,747.5,0.022,79.3
K00987.01,CONFIRMED,3.179267286,1.0246,1.21,1101.0,347.01,200.9,0.171,41.0
K00988.01,CONFIRMED,10.38122447,2.715,2.18,672.0,48.37,801.5,0.319,41.9
K00988.02,CONFIRMED,24.5709023,3.587,2.82,505.0,15.33,764.2,0.945,26.3
K00989.01,FALSE POSITIVE,81.221876,4.1135,16.59,385.0,5.2,9883.0,1.01,63.0
K00989.02,FALSE POSITIVE,0.817026268,2.0799,2.92,1784.0,2386.13,1145.5,0.01,121.1
K00135.01,CONFIRMED,3.024092505,2.8021,12.14,1489.0,1162.54,7765.0,0.424,1225.3
K01058.01,FALSE POSITIVE,5.670155713,0.9361,5.85,341.0,3.21,536.7,1.267,37.3
K01059.01,CONFIRMED,1.022678654,1.3712,1.14,1734.0,2138.47,129.2,0.019,21.6
K01060.01,CONFIRMED,12.10968709,6.3461,2.98,1005.0,240.8,284.7,0.924,33.4
K01060.02,CONFIRMED,4.75796103,4.66,1.7,1372.0,835.65,124.5,0.621,20.9
K01060.03,CONFIRMED,20.4972755,8.536,2.96,843.0,119.42,242.9,0.966,22.8
K01119.02,FALSE POSITIVE,13.55480534,2.288,0.62,679.0,50.41,48.3,0.497,16.5
K01120.01,FALSE POSITIVE,29.74454668,23.2842,20.06,455.0,10.1,66894.0,0.337,765.0
K01121.01,FALSE POSITIVE,14.15402428,4.47001,53.25,777.0,86.13,61625.1,1.1,930.3
K01122.01,FALSE POSITIVE,0.844786082,3.5289,35.27,1864.0,2846.03,2468.5,1.297,245.6
K01123.01,FALSE POSITIVE,0.848483947,1.4451,32.11,1908.0,3117.82,1907.4,1.264,185.0
K01124.01,FALSE POSITIVE,11.99097576,5.7401,37.47,880.0,141.63,2124.3,1.269,102.8
K01199.01,CONFIRMED,53.5292702,5.668,2.28,348.0,3.48,1086.1,0.346,34.5
K01200.01,FALSE POSITIVE,0.393726813,2.95,24.17,2705.0,12661.53,564.6,1.1898,64.8
K01201.01,CONFIRMED,2.757584622,0.9267,1.01,615.0,33.79,563.1,0.093,19.6
K01202.01,CONFIRMED,0.928310036,1.1899,1.16,1115.0,365.72,376.2,0.181,22.6
K00152.03,CONFIRMED,13.48457668,5.0197,3.39,929.0,176.29,653.5,0.011,80.8
K01203.01,CONFIRMED,31.8841473,6.122,3.7,563.0,23.82,910.0,0.938,25.3
K00989.03,CANDIDATE,16.15811112,6.049,86.13,660.0,44.83,2319.8,1.8572,52.8
K00990.01,FALSE POSITIVE,67.69213907,51.349,175.98,1173.0,448.21,25457.2,0.5581,1328.2
K00991.01,CONFIRMED,12.06222962,2.0584,1.62,750.0,74.8,300.2,0.392,32.4
K00992.01,CONFIRMED,9.93146307,5.678,2.41,931.0,177.83,398.6,0.037,26.2
K00993.01,CONFIRMED,21.85362905,3.439,1.75,618.0,34.57,355.6,0.676,23.0
K01060.04,CONFIRMED,8.19345065,5.234,1.74,1144.0,405.75,115.4,0.815,15.7
K00140.01,FALSE POSITIVE,19.97867,10.168,6.85,1351.0,788.02,944.3,0.923,86.2
K01061.01,CONFIRMED,41.8059544,6.057,2.02,533.0,19.02,434.4,0.029,28.3
K01062.01,FALSE POSITIVE,15.45158184,2.406,2.02,1285.0,643.83,85.3,0.636,21.0
K01063.01,FALSE POSITIVE,89.698168533,5.5418,102.08,554.0,22.33,273106.0,0.684,3420.3
K01064.01,FALSE POSITIVE,1.187352427,4.999,67.35,2251.0,6067.3,20703.0,1.222,717.4
K00015.01,FALSE POSITIVE,3.012476582,3.1424,65.25,2371.0,7471.65,1138.5,1.261,253.4
K00148.01,CONFIRMED,4.77800306,2.7361,1.85,932.0,177.79,473.0,0.02,115.4
K01125.01,FALSE POSITIVE,7.814839231,3.0122,5.33,903.0,156.74,2010.3,0.945,100.0
K01126.01,FALSE POSITIVE,29.7452499,22.695,3.6,557.0,22.74,778.9,0.941,55.9
K01127.01,CONFIRMED,5.32667299,3.4045,2.26,1007.0,242.97,611.4,0.043,34.1
K01187.01,FALSE POSITIVE,0.741057213,1.05299,26.67,1730.0,2128.29,1996.3,1.26,251.9
K01188.01,FALSE POSITIVE,2.988085455,3.68,21.81,1101.0,348.05,802.8,1.216,48.2
K01189.01,FALSE POSITIVE,2.783883492,2.4546,67.17,1934.0,3304.55,903.9,1.255,86.1
K01190.01,FALSE POSITIVE,0.393727296,3.02,23.05,2216.0,5746.51,903.5,1.228,82.4
K01191.01,CONFIRMED,8.17242644,3.902,3.29,858.0,127.95,864.3,0.926,37.0
K01192.01,CANDIDATE,1295.362215,28.297,57.82,169.0,0.19,8708.0,1.3935,164.0
K00993.02,CONFIRMED,13.0607936,3.215,1.45,734.0,68.66,236.6,0.718,19.4
K00994.01,CANDIDATE,4.2989201,2.747,2.12,1046.0,283.62,237.6,0.972,20.0
K00995.01,FALSE POSITIVE,25.9518461,14.581,22.32,521.0,17.37,1058.5,1.22,65.8
K00996.01,FALSE POSITIVE,25.9518536,14.755,24.6,494.0,14.09,2017.9,1.25,79.4
K00997.01,FALSE POSITIVE,5.68628739,17.573,4.5,1059.0,297.81,5559.7,0.8548,414.4
K00136.01,FALSE POSITIVE,15.663886949,2.4775,27.36,1060.0,298.77,5144.4,0.985,175.9
K01065.01,FALSE POSITIVE,4.020628573,4.4085,16.94,1232.0,543.92,20901.0,0.827,282.6
K01066.01,CANDIDATE,5.714817603,3.14126,9.29,943.0,187.27,12294.8,0.096,537.7
K01067.01,FALSE POSITIVE,185.02288222,4.87326,49.82,379.0,4.89,43546.7,1.004,938.2
K01068.01,FALSE POSITIVE,2.897432135,3.1793,14.35,2170.0,5240.0,1223.7,0.967,73.9
K01069.01,CONFIRMED,8.70420525,2.9385,2.86,748.0,74.13,1074.9,0.5,74.0
K01127.02,CONFIRMED,8.1280933,3.727,1.39,875.0,138.51,224.1,0.357,10.7
K01127.03,CANDIDATE,2.83668931,3.031,1.19,1242.0,562.48,166.1,0.33,12.1
K01128.01,CONFIRMED,0.974868896,1.6191,1.16,1612.0,1605.87,197.6,0.12,82.6
K01129.01,CONFIRMED,4.89721006,1.812,1.48,904.0,157.93,274.4,0.66,16.9
K01130.01,FALSE POSITIVE,2.757794163,2.7644,20.05,1231.0,542.43,39043.0,0.8,349.2
K01132.01,FALSE POSITIVE,1.914158508,3.2917,13.63,1646.0,1730.47,7829.2,0.942,124.6
K01196.01,FALSE POSITIVE,3.98216698,2.396,3.32,1374.0,842.48,381.3,0.775,27.1
K01197.01,FALSE POSITIVE,0.643794198,1.5662,19.51,2011.0,3852.91,456.7,1.193,53.7
K01198.01,CONFIRMED,16.08832318,5.731,3.42,875.0,138.64,597.8,0.648,31.3
K01198.02,CONFIRMED,10.30067919,4.885,2.2,1015.0,251.55,271.8,0.004,16.4
K01198.03,CONFIRMED,35.6757453,7.381,3.02,671.0,47.96,471.2,0.61,18.5
K00998.01,FALSE POSITIVE,161.78832712,5.31,36.14,375.0,4.68,87750.0,0.267,704.5
K00999.01,CONFIRMED,16.56806842,4.2647,2.54,548.0,21.27,1331.4,0.164,41.9
K00999.02,CONFIRMED,47.3329299,2.708,2.18,386.0,5.25,931.5,0.43,14.0
K01000.01,FALSE POSITIVE,0.856895349,1.3078,0.82,1881.0,2960.82,82.2,0.554,33.1
K01001.01,CONFIRMED,40.8065333,13.135,3.71,772.0,83.75,313.9,0.016,54.8
K01069.02,CONFIRMED,2.46697039,1.6345,1.56,1139.0,398.42,308.7,0.574,29.5
K00141.01,CANDIDATE,2.624234833,1.3874,5.11,1164.0,434.31,2607.0,0.781,361.1
K01070.01,CONFIRMED,6.61836309,3.6813,2.98,1066.0,304.65,549.1,0.043,31.5
K01070.02,CONFIRMED,107.7214092,8.042,4.75,421.0,7.39,1396.2,0.003,30.5
K01070.03,CANDIDATE,92.77779,6.64,1.92,410.0,6.7,359.0,0.0174,5.2
K01133.01,FALSE POSITIVE,5.251916208,4.9095,37.15,952.0,194.17,10624.3,1.256,146.3
K00148.02,CONFIRMED,9.673958488,3.2641,2.63,736.0,69.42,952.7,0.194,178.0
K01134.01,FALSE POSITIVE,100.3039228,8.702,29.55,313.0,2.26,5450.0,1.256,63.2
K01135.01,FALSE POSITIVE,0.986620248,3.9722,43.98,2308.0,6719.67,1345.8,1.252,117.7
K01203.02,CONFIRMED,14.12847677,3.685,2.73,739.0,70.5,628.7,0.811,23.0
K01203.03,CONFIRMED,48.6478543,5.464,4.14,489.0,13.57,641.8,0.988,12.2
K01204.01,CONFIRMED,8.39842977,6.344,2.0,984.0,221.66,340.1,0.573,28.0
K01205.01,CONFIRMED,8.63847391,5.4566,5.99,1419.0,958.35,395.9,0.049,38.6
K01206.01,CANDIDATE,422.917678,31.274,5.89,292.0,1.73,1367.7,0.7887,61.7
K01001.02,CONFIRMED,140.10765,18.503,3.42,511.0,16.17,266.8,0.019,29.0
K01002.01,CONFIRMED,3.4815917,1.8069,1.17,1156.0,421.61,135.2,0.076,23.4
K01003.01,FALSE POSITIVE,8.360616221,7.5385,40.35,1263.0,601.6,28066.3,0.21,425.6
K01004.01,FALSE POSITIVE,1.838514968,2.7391,4.86,1426.0,974.1,2721.7,0.045,63.7
K01005.01,CONFIRMED,35.61760233,8.4559,5.17,456.0,10.19,4634.9,0.009,155.0
K01071.01,FALSE POSITIVE,1.09206833,1.8596,1.29,1611.0,1588.89,219.2,0.469,45.5
K01072.01,CONFIRMED,10.12805158,3.517,1.95,767.0,81.77,477.4,0.753,38.0
K01073.01,FALSE POSITIVE,1.613001111,2.394,1.25,1680.0,1878.1,104.1,0.448,19.3
K01074.01,CONFIRMED,3.770551475,3.8077,12.05,1302.0,679.75,12440.0,0.053,100.8
K01075.01,FALSE POSITIVE,1.343767797,1.9405,18.66,2654.0,11675.38,4702.6,0.891,269.8
K01076.01,FALSE POSITIVE,29.12436474,3.4209,15.25,356.0,3.81,6496.0,1.181,63.4
K01138.01,FALSE POSITIVE,31.82814583,2.917,35.8,564.0,23.97,4456.8,1.276,78.7
K01139.01,FALSE POSITIVE,3.629442796,5.63,3.28,1434.0,1001.35,426.6,0.97,76.4
K01140.01,FALSE POSITIVE,0.553261874,0.8875,97.36,3689.0,43709.08,1038.1,1.246,202.2
K01141.01,CONFIRMED,5.72812616,2.0295,1.38,569.0,24.74,643.4,0.22,20.8
K01142.01,CONFIRMED,3.75574267,2.2911,1.58,977.0,215.46,417.4,0.127,27.9
K01143.01,FALSE POSITIVE,7.44042933,2.991,2.74,883.0,144.12,547.3,0.968,34.0
K00941.01,CONFIRMED,6.581477136,3.0896,4.56,881.0,142.63,2318.9,0.137,116.2
K00129.01,CONFIRMED,24.669192732,7.03515,77.76,1485.0,1150.61,7382.3,0.073,603.0
K00941.02,CONFIRMED,2.382652873,1.8888,2.74,1237.0,553.53,705.4,0.682,45.5
K00941.03,CONFIRMED,24.66461416,2.8579,5.34,567.0,24.53,2398.8,0.8,56.7
K00942.01,CONFIRMED,11.51517167,2.006,2.9,657.0,43.96,1357.4,0.311,53.2
K00137.01,CONFIRMED,7.641567589,3.41018,4.91,899.0,154.25,2269.7,0.027,437.5
K01006.01,FALSE POSITIVE,30.6113932,3.576,19.68,317.0,2.38,3472.0,1.264,37.5
K01007.01,CONFIRMED,7.40742502,3.675,2.01,938.0,183.15,442.0,0.03,23.1
K01008.01,FALSE POSITIVE,569.934135,4.1904,38.98,296.0,1.81,18904.0,0.919,66.7
K01009.01,FALSE POSITIVE,5.09246539,3.659,1.17,844.0,119.7,254.0,0.161,17.1
K01077.01,FALSE POSITIVE,1.103971357,0.926,1.37,1471.0,1109.79,317.9,0.52,21.7
K00142.01,CONFIRMED,10.916108342,3.6496,3.93,758.0,78.19,1479.0,0.7699,302.2
K01078.01,CONFIRMED,3.353732008,1.4598,1.65,615.0,33.76,1264.7,0.051,47.8
K01078.02,CONFIRMED,6.877446033,1.3692,2.05,484.0,12.95,1632.3,0.79,39.6
K01078.03,CONFIRMED,28.46464804,2.6657,1.87,301.0,1.95,1629.8,0.035,28.9
K01079.01,FALSE POSITIVE,0.293630085,2.3857,26.35,2503.0,9283.34,2017.7,1.2329,170.0
K00148.03,CONFIRMED,42.89645024,5.6897,2.0,448.0,9.54,555.3,0.007,66.8
K01144.01,FALSE POSITIVE,2.44199803,2.759,1.44,1282.0,638.05,251.7,0.856,27.2
K01145.01,CANDIDATE,30.5872153,5.3698,2.32,621.0,35.08,464.8,0.013,33.1
K01146.01,CONFIRMED,7.09712124,2.1059,0.74,425.0,7.73,369.5,0.05,18.3
K01147.01,FALSE POSITIVE,2.6827683,2.957,1.19,1551.0,1366.57,79.8,0.769,26.7
K00943.01,CONFIRMED,3.601465336,2.2753,2.31,996.0,232.65,777.7,0.021,50.7
K00944.01,FALSE POSITIVE,3.108251172,2.5048,4.43,1096.0,340.69,1867.7,0.9,156.5
K00945.01,CONFIRMED,25.8474958,5.985,2.4,672.0,48.23,537.4,0.054,27.3
K00945.02,CONFIRMED,40.715561,6.894,2.7,578.0,26.34,680.9,0.008,28.9
K00946.01,FALSE POSITIVE,20.42720701,3.447,4.42,674.0,48.72,1273.0,0.956,36.7
K01011.01,FALSE POSITIVE,6.198273591,7.53837,19.81,985.0,222.23,47302.6,0.343,2561.1
K01012.01,FALSE POSITIVE,1.023471798,2.3499,3.78,1727.0,2103.09,861.4,0.974,63.0
K01013.01,FALSE POSITIVE,0.51872711,1.252,19.07,1965.0,3537.27,714.1,1.199,93.3
